Gene,Gene Identifier,Number of AT Sites,AT Coordinates
Outer membrane beta-barrel assembly protein BamB,RAST2:fig|442.17.peg.2453,123,"1592470, 1592476, 1592488, 1592489, 1592493, 1592512, 1592513, 1592525, 1592534, 1592539, 1592550, 1592560, 1592561, 1592584, 1592591, 1592614, 1592619, 1592646, 1592662, 1592667, 1592668, 1592678, 1592713, 1592728, 1592755, 1592825, 1592832, 1592860, 1592898, 1592910, 1592911, 1592935, 1592942, 1592943, 1592996, 1593001, 1593009, 1593019, 1593048, 1593064, 1593076, 1593095, 1593096, 1593099, 1593100, 1593112, 1593132, 1593133, 1593138, 1593139, 1593155, 1593163, 1593206, 1593208, 1593211, 1593212, 1593267, 1593270, 1593271, 1593280, 1593281, 1593306, 1593328, 1593342, 1593346, 1593350, 1593364, 1593410, 1593483, 1593498, 1593504, 1593520, 1593522, 1593525, 1593526, 1593527, 1593528, 1593537, 1593553, 1593572, 1593573, 1593582, 1593583, 1593597, 1593603, 1593604, 1593606, 1593615, 1593618, 1593631, 1593635, 1593636, 1593655, 1593656, 1593660, 1593664, 1593665, 1593675, 1593676, 1593688, 1593691, 1593692, 1593700, 1593704, 1593705, 1593715, 1593726, 1593729, 1593736, 1593745, 1593747, 1593751, 1593756, 1593767, 1593778, 1593784, 1593794, 1593811, 1593819, 1593820, 1593836, 1593845, 1593872"
FIG00449901: hypothetical protein,RAST2:fig|442.17.peg.2454,56,"1593882, 1593888, 1593900, 1593901, 1593905, 1593924, 1593925, 1593937, 1593946, 1593951, 1593962, 1593972, 1593973, 1593996, 1594003, 1594026, 1594031, 1594058, 1594074, 1594079, 1594080, 1594090, 1594125, 1594140, 1594167, 1594237, 1594244, 1594272, 1594310, 1594322, 1594323, 1594347, 1594354, 1594355, 1594408, 1594413, 1594421, 1594431, 1594460, 1594476, 1594488, 1594507, 1594508, 1594511, 1594512, 1594524, 1594544, 1594545, 1594550, 1594551, 1594567, 1594575, 1594618, 1594620, 1594623, 1594624"
hypothetical protein,RAST2:fig|442.17.peg.2455,25,"1594750, 1594756, 1594768, 1594769, 1594773, 1594792, 1594793, 1594805, 1594814, 1594819, 1594830, 1594840, 1594841, 1594864, 1594871, 1594894, 1594899, 1594926, 1594942, 1594947, 1594948, 1594958, 1594993, 1595008, 1595035"
hypothetical protein,RAST2:fig|442.17.peg.2456,27,"1595077, 1595083, 1595095, 1595096, 1595100, 1595119, 1595120, 1595132, 1595141, 1595146, 1595157, 1595167, 1595168, 1595191, 1595198, 1595221, 1595226, 1595253, 1595269, 1595274, 1595275, 1595285, 1595320, 1595335, 1595362, 1595432, 1595439"
Dihydroorotase,RAST2:fig|442.17.peg.2457,115,"1595518, 1595524, 1595536, 1595537, 1595541, 1595560, 1595561, 1595573, 1595582, 1595587, 1595598, 1595608, 1595609, 1595632, 1595639, 1595662, 1595667, 1595694, 1595710, 1595715, 1595716, 1595726, 1595761, 1595776, 1595803, 1595873, 1595880, 1595908, 1595946, 1595958, 1595959, 1595983, 1595990, 1595991, 1596044, 1596049, 1596057, 1596067, 1596096, 1596112, 1596124, 1596143, 1596144, 1596147, 1596148, 1596160, 1596180, 1596181, 1596186, 1596187, 1596203, 1596211, 1596254, 1596256, 1596259, 1596260, 1596315, 1596318, 1596319, 1596328, 1596329, 1596354, 1596376, 1596390, 1596394, 1596398, 1596412, 1596458, 1596531, 1596546, 1596552, 1596568, 1596570, 1596573, 1596574, 1596575, 1596576, 1596585, 1596601, 1596620, 1596621, 1596630, 1596631, 1596645, 1596651, 1596652, 1596654, 1596663, 1596666, 1596679, 1596683, 1596684, 1596703, 1596704, 1596708, 1596712, 1596713, 1596723, 1596724, 1596736, 1596739, 1596740, 1596748, 1596752, 1596753, 1596763, 1596774, 1596777, 1596784, 1596793, 1596795, 1596799, 1596804, 1596815, 1596826"
Asparagine synthetase [glutamine-hydrolyzing],RAST2:fig|442.17.peg.2458,141,"1596887, 1596893, 1596905, 1596906, 1596910, 1596929, 1596930, 1596942, 1596951, 1596956, 1596967, 1596977, 1596978, 1597001, 1597008, 1597031, 1597036, 1597063, 1597079, 1597084, 1597085, 1597095, 1597130, 1597145, 1597172, 1597242, 1597249, 1597277, 1597315, 1597327, 1597328, 1597352, 1597359, 1597360, 1597413, 1597418, 1597426, 1597436, 1597465, 1597481, 1597493, 1597512, 1597513, 1597516, 1597517, 1597529, 1597549, 1597550, 1597555, 1597556, 1597572, 1597580, 1597623, 1597625, 1597628, 1597629, 1597684, 1597687, 1597688, 1597697, 1597698, 1597723, 1597745, 1597759, 1597763, 1597767, 1597781, 1597827, 1597900, 1597915, 1597921, 1597937, 1597939, 1597942, 1597943, 1597944, 1597945, 1597954, 1597970, 1597989, 1597990, 1597999, 1598000, 1598014, 1598020, 1598021, 1598023, 1598032, 1598035, 1598048, 1598052, 1598053, 1598072, 1598073, 1598077, 1598081, 1598082, 1598092, 1598093, 1598105, 1598108, 1598109, 1598117, 1598121, 1598122, 1598132, 1598143, 1598146, 1598153, 1598162, 1598164, 1598168, 1598173, 1598184, 1598195, 1598201, 1598211, 1598228, 1598236, 1598237, 1598253, 1598262, 1598289, 1598317, 1598318, 1598351, 1598354, 1598362, 1598430, 1598431, 1598432, 1598474, 1598483, 1598494, 1598498, 1598529, 1598530, 1598531, 1598550, 1598555, 1598625"
Lipopolysaccharide core biosynthesis glycosyl t,RAST2:fig|442.17.peg.2459,71,"1598647, 1598653, 1598665, 1598666, 1598670, 1598689, 1598690, 1598702, 1598711, 1598716, 1598727, 1598737, 1598738, 1598761, 1598768, 1598791, 1598796, 1598823, 1598839, 1598844, 1598845, 1598855, 1598890, 1598905, 1598932, 1599002, 1599009, 1599037, 1599075, 1599087, 1599088, 1599112, 1599119, 1599120, 1599173, 1599178, 1599186, 1599196, 1599225, 1599241, 1599253, 1599272, 1599273, 1599276, 1599277, 1599289, 1599309, 1599310, 1599315, 1599316, 1599332, 1599340, 1599383, 1599385, 1599388, 1599389, 1599444, 1599447, 1599448, 1599457, 1599458, 1599483, 1599505, 1599519, 1599523, 1599527, 1599541, 1599587, 1599660, 1599675, 1599681"
ADP-heptose--lipooligosaccharide heptosyltransf,RAST2:fig|442.17.peg.2460,67,"1599733, 1599739, 1599751, 1599752, 1599756, 1599775, 1599776, 1599788, 1599797, 1599802, 1599813, 1599823, 1599824, 1599847, 1599854, 1599877, 1599882, 1599909, 1599925, 1599930, 1599931, 1599941, 1599976, 1599991, 1600018, 1600088, 1600095, 1600123, 1600161, 1600173, 1600174, 1600198, 1600205, 1600206, 1600259, 1600264, 1600272, 1600282, 1600311, 1600327, 1600339, 1600358, 1600359, 1600362, 1600363, 1600375, 1600395, 1600396, 1600401, 1600402, 1600418, 1600426, 1600469, 1600471, 1600474, 1600475, 1600530, 1600533, 1600534, 1600543, 1600544, 1600569, 1600591, 1600605, 1600609, 1600613, 1600627"
DNA polymerase III epsilon subunit,RAST2:fig|442.17.peg.2461,50,"1600653, 1600659, 1600671, 1600672, 1600676, 1600695, 1600696, 1600708, 1600717, 1600722, 1600733, 1600743, 1600744, 1600767, 1600774, 1600797, 1600802, 1600829, 1600845, 1600850, 1600851, 1600861, 1600896, 1600911, 1600938, 1601008, 1601015, 1601043, 1601081, 1601093, 1601094, 1601118, 1601125, 1601126, 1601179, 1601184, 1601192, 1601202, 1601231, 1601247, 1601259, 1601278, 1601279, 1601282, 1601283, 1601295, 1601315, 1601316, 1601321, 1601322"
Dephospho-CoA kinase,RAST2:fig|442.17.peg.2462,40,"1601336, 1601342, 1601354, 1601355, 1601359, 1601378, 1601379, 1601391, 1601400, 1601405, 1601416, 1601426, 1601427, 1601450, 1601457, 1601480, 1601485, 1601512, 1601528, 1601533, 1601534, 1601544, 1601579, 1601594, 1601621, 1601691, 1601698, 1601726, 1601764, 1601776, 1601777, 1601801, 1601808, 1601809, 1601862, 1601867, 1601875, 1601885, 1601914, 1601930"
Shikimate 5-dehydrogenase I alpha,RAST2:fig|442.17.peg.2463,61,"1601938, 1601944, 1601956, 1601957, 1601961, 1601980, 1601981, 1601993, 1602002, 1602007, 1602018, 1602028, 1602029, 1602052, 1602059, 1602082, 1602087, 1602114, 1602130, 1602135, 1602136, 1602146, 1602181, 1602196, 1602223, 1602293, 1602300, 1602328, 1602366, 1602378, 1602379, 1602403, 1602410, 1602411, 1602464, 1602469, 1602477, 1602487, 1602516, 1602532, 1602544, 1602563, 1602564, 1602567, 1602568, 1602580, 1602600, 1602601, 1602606, 1602607, 1602623, 1602631, 1602674, 1602676, 1602679, 1602680, 1602735, 1602738, 1602739, 1602748, 1602749"
hypothetical protein,RAST2:fig|442.17.peg.2464,56,"1602774, 1602780, 1602792, 1602793, 1602797, 1602816, 1602817, 1602829, 1602838, 1602843, 1602854, 1602864, 1602865, 1602888, 1602895, 1602918, 1602923, 1602950, 1602966, 1602971, 1602972, 1602982, 1603017, 1603032, 1603059, 1603129, 1603136, 1603164, 1603202, 1603214, 1603215, 1603239, 1603246, 1603247, 1603300, 1603305, 1603313, 1603323, 1603352, 1603368, 1603380, 1603399, 1603400, 1603403, 1603404, 1603416, 1603436, 1603437, 1603442, 1603443, 1603459, 1603467, 1603510, 1603512, 1603515, 1603516"
Thiol:disulfide oxidoreductase TlpA,RAST2:fig|442.17.peg.2465,46,"1603569, 1603575, 1603587, 1603588, 1603592, 1603611, 1603612, 1603624, 1603633, 1603638, 1603649, 1603659, 1603660, 1603683, 1603690, 1603713, 1603718, 1603745, 1603761, 1603766, 1603767, 1603777, 1603812, 1603827, 1603854, 1603924, 1603931, 1603959, 1603997, 1604009, 1604010, 1604034, 1604041, 1604042, 1604095, 1604100, 1604108, 1604118, 1604147, 1604163, 1604175, 1604194, 1604195, 1604198, 1604199, 1604211"
Thiol:disulfide oxidoreductase TlpA,RAST2:fig|442.17.peg.2466,38,"1604263, 1604269, 1604281, 1604282, 1604286, 1604305, 1604306, 1604318, 1604327, 1604332, 1604343, 1604353, 1604354, 1604377, 1604384, 1604407, 1604412, 1604439, 1604455, 1604460, 1604461, 1604471, 1604506, 1604521, 1604548, 1604618, 1604625, 1604653, 1604691, 1604703, 1604704, 1604728, 1604735, 1604736, 1604789, 1604794, 1604802, 1604812"
Thiol:disulfide oxidoreductase TlpA,RAST2:fig|442.17.peg.2467,39,"1604841, 1604847, 1604859, 1604860, 1604864, 1604883, 1604884, 1604896, 1604905, 1604910, 1604921, 1604931, 1604932, 1604955, 1604962, 1604985, 1604990, 1605017, 1605033, 1605038, 1605039, 1605049, 1605084, 1605099, 1605126, 1605196, 1605203, 1605231, 1605269, 1605281, 1605282, 1605306, 1605313, 1605314, 1605367, 1605372, 1605380, 1605390, 1605419"
Argininosuccinate lyase,RAST2:fig|442.17.peg.2468,125,"1605456, 1605462, 1605474, 1605475, 1605479, 1605498, 1605499, 1605511, 1605520, 1605525, 1605536, 1605546, 1605547, 1605570, 1605577, 1605600, 1605605, 1605632, 1605648, 1605653, 1605654, 1605664, 1605699, 1605714, 1605741, 1605811, 1605818, 1605846, 1605884, 1605896, 1605897, 1605921, 1605928, 1605929, 1605982, 1605987, 1605995, 1606005, 1606034, 1606050, 1606062, 1606081, 1606082, 1606085, 1606086, 1606098, 1606118, 1606119, 1606124, 1606125, 1606141, 1606149, 1606192, 1606194, 1606197, 1606198, 1606253, 1606256, 1606257, 1606266, 1606267, 1606292, 1606314, 1606328, 1606332, 1606336, 1606350, 1606396, 1606469, 1606484, 1606490, 1606506, 1606508, 1606511, 1606512, 1606513, 1606514, 1606523, 1606539, 1606558, 1606559, 1606568, 1606569, 1606583, 1606589, 1606590, 1606592, 1606601, 1606604, 1606617, 1606621, 1606622, 1606641, 1606642, 1606646, 1606650, 1606651, 1606661, 1606662, 1606674, 1606677, 1606678, 1606686, 1606690, 1606691, 1606701, 1606712, 1606715, 1606722, 1606731, 1606733, 1606737, 1606742, 1606753, 1606764, 1606770, 1606780, 1606797, 1606805, 1606806, 1606822, 1606831, 1606858, 1606886, 1606887"
hypothetical protein,RAST2:fig|442.17.peg.2469,15,"1606898, 1606904, 1606916, 1606917, 1606921, 1606940, 1606941, 1606953, 1606962, 1606967, 1606978, 1606988, 1606989, 1607012, 1607019"
Glutamyl-Q tRNA,RAST2:fig|442.17.peg.2470,62,"1607014, 1607020, 1607032, 1607033, 1607037, 1607056, 1607057, 1607069, 1607078, 1607083, 1607094, 1607104, 1607105, 1607128, 1607135, 1607158, 1607163, 1607190, 1607206, 1607211, 1607212, 1607222, 1607257, 1607272, 1607299, 1607369, 1607376, 1607404, 1607442, 1607454, 1607455, 1607479, 1607486, 1607487, 1607540, 1607545, 1607553, 1607563, 1607592, 1607608, 1607620, 1607639, 1607640, 1607643, 1607644, 1607656, 1607676, 1607677, 1607682, 1607683, 1607699, 1607707, 1607750, 1607752, 1607755, 1607756, 1607811, 1607814, 1607815, 1607824, 1607825, 1607850"
HNH endonuclease family protein,RAST2:fig|442.17.peg.2471,38,"1608016, 1608022, 1608034, 1608035, 1608039, 1608058, 1608059, 1608071, 1608080, 1608085, 1608096, 1608106, 1608107, 1608130, 1608137, 1608160, 1608165, 1608192, 1608208, 1608213, 1608214, 1608224, 1608259, 1608274, 1608301, 1608371, 1608378, 1608406, 1608444, 1608456, 1608457, 1608481, 1608488, 1608489, 1608542, 1608547, 1608555, 1608565"
hypothetical protein,RAST2:fig|442.17.peg.2472,29,"1608625, 1608631, 1608643, 1608644, 1608648, 1608667, 1608668, 1608680, 1608689, 1608694, 1608705, 1608715, 1608716, 1608739, 1608746, 1608769, 1608774, 1608801, 1608817, 1608822, 1608823, 1608833, 1608868, 1608883, 1608910, 1608980, 1608987, 1609015, 1609053"
hypothetical protein,RAST2:fig|442.17.peg.2473,26,"1609159, 1609165, 1609177, 1609178, 1609182, 1609201, 1609202, 1609214, 1609223, 1609228, 1609239, 1609249, 1609250, 1609273, 1609280, 1609303, 1609308, 1609335, 1609351, 1609356, 1609357, 1609367, 1609402, 1609417, 1609444, 1609514"
"GMP synthase [glutamine-hydrolyzing], amidotran",RAST2:fig|442.17.peg.2474,135,"1609671, 1609677, 1609689, 1609690, 1609694, 1609713, 1609714, 1609726, 1609735, 1609740, 1609751, 1609761, 1609762, 1609785, 1609792, 1609815, 1609820, 1609847, 1609863, 1609868, 1609869, 1609879, 1609914, 1609929, 1609956, 1610026, 1610033, 1610061, 1610099, 1610111, 1610112, 1610136, 1610143, 1610144, 1610197, 1610202, 1610210, 1610220, 1610249, 1610265, 1610277, 1610296, 1610297, 1610300, 1610301, 1610313, 1610333, 1610334, 1610339, 1610340, 1610356, 1610364, 1610407, 1610409, 1610412, 1610413, 1610468, 1610471, 1610472, 1610481, 1610482, 1610507, 1610529, 1610543, 1610547, 1610551, 1610565, 1610611, 1610684, 1610699, 1610705, 1610721, 1610723, 1610726, 1610727, 1610728, 1610729, 1610738, 1610754, 1610773, 1610774, 1610783, 1610784, 1610798, 1610804, 1610805, 1610807, 1610816, 1610819, 1610832, 1610836, 1610837, 1610856, 1610857, 1610861, 1610865, 1610866, 1610876, 1610877, 1610889, 1610892, 1610893, 1610901, 1610905, 1610906, 1610916, 1610927, 1610930, 1610937, 1610946, 1610948, 1610952, 1610957, 1610968, 1610979, 1610985, 1610995, 1611012, 1611020, 1611021, 1611037, 1611046, 1611073, 1611101, 1611102, 1611135, 1611138, 1611146, 1611214, 1611215, 1611216, 1611258, 1611267, 1611278, 1611282"
hypothetical protein,RAST2:fig|442.17.peg.2475,27,"1611369, 1611375, 1611387, 1611388, 1611392, 1611411, 1611412, 1611424, 1611433, 1611438, 1611449, 1611459, 1611460, 1611483, 1611490, 1611513, 1611518, 1611545, 1611561, 1611566, 1611567, 1611577, 1611612, 1611627, 1611654, 1611724, 1611731"
Two-component transcriptional response regulato,RAST2:fig|442.17.peg.2476,28,"1612030, 1612036, 1612048, 1612049, 1612053, 1612072, 1612073, 1612085, 1612094, 1612099, 1612110, 1612120, 1612121, 1612144, 1612151, 1612174, 1612179, 1612206, 1612222, 1612227, 1612228, 1612238, 1612273, 1612288, 1612315, 1612385, 1612392, 1612420"
Putative protease,RAST2:fig|442.17.peg.2477,51,"1612600, 1612606, 1612618, 1612619, 1612623, 1612642, 1612643, 1612655, 1612664, 1612669, 1612680, 1612690, 1612691, 1612714, 1612721, 1612744, 1612749, 1612776, 1612792, 1612797, 1612798, 1612808, 1612843, 1612858, 1612885, 1612955, 1612962, 1612990, 1613028, 1613040, 1613041, 1613065, 1613072, 1613073, 1613126, 1613131, 1613139, 1613149, 1613178, 1613194, 1613206, 1613225, 1613226, 1613229, 1613230, 1613242, 1613262, 1613263, 1613268, 1613269, 1613285"
Cytidine deaminase,RAST2:fig|442.17.peg.2478,28,"1613292, 1613298, 1613310, 1613311, 1613315, 1613334, 1613335, 1613347, 1613356, 1613361, 1613372, 1613382, 1613383, 1613406, 1613413, 1613436, 1613441, 1613468, 1613484, 1613489, 1613490, 1613500, 1613535, 1613550, 1613577, 1613647, 1613654, 1613682"
Diaminopimelate decarboxylase,RAST2:fig|442.17.peg.2479,118,"1613750, 1613756, 1613768, 1613769, 1613773, 1613792, 1613793, 1613805, 1613814, 1613819, 1613830, 1613840, 1613841, 1613864, 1613871, 1613894, 1613899, 1613926, 1613942, 1613947, 1613948, 1613958, 1613993, 1614008, 1614035, 1614105, 1614112, 1614140, 1614178, 1614190, 1614191, 1614215, 1614222, 1614223, 1614276, 1614281, 1614289, 1614299, 1614328, 1614344, 1614356, 1614375, 1614376, 1614379, 1614380, 1614392, 1614412, 1614413, 1614418, 1614419, 1614435, 1614443, 1614486, 1614488, 1614491, 1614492, 1614547, 1614550, 1614551, 1614560, 1614561, 1614586, 1614608, 1614622, 1614626, 1614630, 1614644, 1614690, 1614763, 1614778, 1614784, 1614800, 1614802, 1614805, 1614806, 1614807, 1614808, 1614817, 1614833, 1614852, 1614853, 1614862, 1614863, 1614877, 1614883, 1614884, 1614886, 1614895, 1614898, 1614911, 1614915, 1614916, 1614935, 1614936, 1614940, 1614944, 1614945, 1614955, 1614956, 1614968, 1614971, 1614972, 1614980, 1614984, 1614985, 1614995, 1615006, 1615009, 1615016, 1615025, 1615027, 1615031, 1615036, 1615047, 1615058, 1615064, 1615074, 1615091"
Putative transmembrane protein,RAST2:fig|442.17.peg.2480,212,"1615095, 1615101, 1615113, 1615114, 1615118, 1615137, 1615138, 1615150, 1615159, 1615164, 1615175, 1615185, 1615186, 1615209, 1615216, 1615239, 1615244, 1615271, 1615287, 1615292, 1615293, 1615303, 1615338, 1615353, 1615380, 1615450, 1615457, 1615485, 1615523, 1615535, 1615536, 1615560, 1615567, 1615568, 1615621, 1615626, 1615634, 1615644, 1615673, 1615689, 1615701, 1615720, 1615721, 1615724, 1615725, 1615737, 1615757, 1615758, 1615763, 1615764, 1615780, 1615788, 1615831, 1615833, 1615836, 1615837, 1615892, 1615895, 1615896, 1615905, 1615906, 1615931, 1615953, 1615967, 1615971, 1615975, 1615989, 1616035, 1616108, 1616123, 1616129, 1616145, 1616147, 1616150, 1616151, 1616152, 1616153, 1616162, 1616178, 1616197, 1616198, 1616207, 1616208, 1616222, 1616228, 1616229, 1616231, 1616240, 1616243, 1616256, 1616260, 1616261, 1616280, 1616281, 1616285, 1616289, 1616290, 1616300, 1616301, 1616313, 1616316, 1616317, 1616325, 1616329, 1616330, 1616340, 1616351, 1616354, 1616361, 1616370, 1616372, 1616376, 1616381, 1616392, 1616403, 1616409, 1616419, 1616436, 1616444, 1616445, 1616461, 1616470, 1616497, 1616525, 1616526, 1616559, 1616562, 1616570, 1616638, 1616639, 1616640, 1616682, 1616691, 1616702, 1616706, 1616737, 1616738, 1616739, 1616758, 1616763, 1616833, 1616867, 1616881, 1616888, 1616891, 1616896, 1616904, 1616909, 1616944, 1616947, 1616969, 1616996, 1617054, 1617055, 1617056, 1617092, 1617117, 1617124, 1617141, 1617143, 1617173, 1617174, 1617175, 1617179, 1617197, 1617198, 1617208, 1617212, 1617239, 1617267, 1617278, 1617279, 1617284, 1617285, 1617306, 1617319, 1617328, 1617335, 1617342, 1617343, 1617345, 1617400, 1617415, 1617419, 1617420, 1617427, 1617437, 1617443, 1617459, 1617463, 1617476, 1617489, 1617492, 1617493, 1617528, 1617532, 1617553, 1617583, 1617584, 1617585, 1617601, 1617613, 1617644, 1617663, 1617678, 1617684, 1617688, 1617692, 1617699, 1617707, 1617735, 1617757"
"Acid phosphatase, class B",RAST2:fig|442.17.peg.2481,50,"1617880, 1617886, 1617898, 1617899, 1617903, 1617922, 1617923, 1617935, 1617944, 1617949, 1617960, 1617970, 1617971, 1617994, 1618001, 1618024, 1618029, 1618056, 1618072, 1618077, 1618078, 1618088, 1618123, 1618138, 1618165, 1618235, 1618242, 1618270, 1618308, 1618320, 1618321, 1618345, 1618352, 1618353, 1618406, 1618411, 1618419, 1618429, 1618458, 1618474, 1618486, 1618505, 1618506, 1618509, 1618510, 1618522, 1618542, 1618543, 1618548, 1618549"
Inner membrane transport protein YdhP,RAST2:fig|442.17.peg.2482,89,"1618563, 1618569, 1618581, 1618582, 1618586, 1618605, 1618606, 1618618, 1618627, 1618632, 1618643, 1618653, 1618654, 1618677, 1618684, 1618707, 1618712, 1618739, 1618755, 1618760, 1618761, 1618771, 1618806, 1618821, 1618848, 1618918, 1618925, 1618953, 1618991, 1619003, 1619004, 1619028, 1619035, 1619036, 1619089, 1619094, 1619102, 1619112, 1619141, 1619157, 1619169, 1619188, 1619189, 1619192, 1619193, 1619205, 1619225, 1619226, 1619231, 1619232, 1619248, 1619256, 1619299, 1619301, 1619304, 1619305, 1619360, 1619363, 1619364, 1619373, 1619374, 1619399, 1619421, 1619435, 1619439, 1619443, 1619457, 1619503, 1619576, 1619591, 1619597, 1619613, 1619615, 1619618, 1619619, 1619620, 1619621, 1619630, 1619646, 1619665, 1619666, 1619675, 1619676, 1619690, 1619696, 1619697, 1619699, 1619708, 1619711"
CDP-diacylglycerol pyrophosphatase,RAST2:fig|442.17.peg.2483,56,"1619811, 1619817, 1619829, 1619830, 1619834, 1619853, 1619854, 1619866, 1619875, 1619880, 1619891, 1619901, 1619902, 1619925, 1619932, 1619955, 1619960, 1619987, 1620003, 1620008, 1620009, 1620019, 1620054, 1620069, 1620096, 1620166, 1620173, 1620201, 1620239, 1620251, 1620252, 1620276, 1620283, 1620284, 1620337, 1620342, 1620350, 1620360, 1620389, 1620405, 1620417, 1620436, 1620437, 1620440, 1620441, 1620453, 1620473, 1620474, 1620479, 1620480, 1620496, 1620504, 1620547, 1620549, 1620552, 1620553"
Exopolyphosphatase,RAST2:fig|442.17.peg.2484,127,"1620572, 1620578, 1620590, 1620591, 1620595, 1620614, 1620615, 1620627, 1620636, 1620641, 1620652, 1620662, 1620663, 1620686, 1620693, 1620716, 1620721, 1620748, 1620764, 1620769, 1620770, 1620780, 1620815, 1620830, 1620857, 1620927, 1620934, 1620962, 1621000, 1621012, 1621013, 1621037, 1621044, 1621045, 1621098, 1621103, 1621111, 1621121, 1621150, 1621166, 1621178, 1621197, 1621198, 1621201, 1621202, 1621214, 1621234, 1621235, 1621240, 1621241, 1621257, 1621265, 1621308, 1621310, 1621313, 1621314, 1621369, 1621372, 1621373, 1621382, 1621383, 1621408, 1621430, 1621444, 1621448, 1621452, 1621466, 1621512, 1621585, 1621600, 1621606, 1621622, 1621624, 1621627, 1621628, 1621629, 1621630, 1621639, 1621655, 1621674, 1621675, 1621684, 1621685, 1621699, 1621705, 1621706, 1621708, 1621717, 1621720, 1621733, 1621737, 1621738, 1621757, 1621758, 1621762, 1621766, 1621767, 1621777, 1621778, 1621790, 1621793, 1621794, 1621802, 1621806, 1621807, 1621817, 1621828, 1621831, 1621838, 1621847, 1621849, 1621853, 1621858, 1621869, 1621880, 1621886, 1621896, 1621913, 1621921, 1621922, 1621938, 1621947, 1621974, 1622002, 1622003, 1622036, 1622039"
